URL,Actual,Predicted
420007_HouseFront_2.jpg,3,0
128004_HouseFront_2.jpg,2,2
276008_HouseFront_2.jpg,4,1
36007_HouseFront_2.jpg,0,1
205002_HouseFront_2.jpg,2,2
32013_HouseFront_2.jpg,1,0
294003_HouseFront_2.jpg,0,1
341004_HouseFront_2.jpg,0,1
2001_HouseFront_2.jpg,2,2
104013_HouseFront_2.jpg,0,0
317013_HouseFront_2.jpg,0,2
418003_HouseFront_2.jpg,4,0
408011_HouseFront_2.jpg,3,2
460005_HouseFront_2.jpg,0,1
432013_HouseFront_2.jpg,2,1
287012_HouseFront_2.jpg,0,1
380011_HouseFront_2.jpg,1,0
134004_HouseFront_2.jpg,1,0
443011_HouseFront_2.jpg,2,2
321009_HouseFront_2.jpg,2,2
2001_HouseFront_2.jpg,2,0
42002_HouseFront_2.jpg,1,0
156011_HouseFront_2.jpg,4,1
287001_HouseFront_2.jpg,0,2
381011_HouseFront_2.jpg,3,1
524014_HouseFront_2.jpg,1,2
18003_HouseFront_2.jpg,2,2
240003_HouseFront_2.jpg,1,0
502008_HouseFront_2.jpg,2,2
415013_HouseFront_2.jpg,1,1
342010_HouseFront_2.jpg,0,0
1031005_HouseFront_2.jpg,2,0
382005_HouseFront_2.jpg,3,4
225013_HouseFront_2.jpg,4,1
286002_HouseFront_2.jpg,0,3
229013_HouseFront_2.jpg,0,2
138012_HouseFront_2.jpg,2,4
514007_HouseFront_2.jpg,3,1
330004_HouseFront_2.jpg,1,2
44007_HouseFront_2.jpg,1,0
234004_HouseFront_2.jpg,1,2
191010_HouseFront_2.jpg,2,0
1039003_HouseFront_2.jpg,0,2
275002_HouseFront_2.jpg,3,2
122004_HouseFront_2.jpg,2,4
90001_HouseFront_2.jpg,4,1
287013_HouseFront_2.jpg,1,1
5011_HouseFront_2.jpg,1,0
98004_HouseFront_2.jpg,1,2
212003_HouseFront_2.jpg,0,1
234004_HouseFront_2.jpg,1,1
269001_HouseFront_2.jpg,4,0
304011_HouseFront_2.jpg,1,2
108013_HouseFront_2.jpg,2,1
201006_HouseFront_2.jpg,0,2
365007_HouseFront_2.jpg,3,1
325002_HouseFront_2.jpg,1,3
64007_HouseFront_2.jpg,1,3
513006_HouseFront_2.jpg,2,1
312004_HouseFront_2.jpg,1,0
161009_HouseFront_2.jpg,1,1
1013016_HouseFront_2.jpg,4,0
86011_HouseFront_2.jpg,1,2
151002_HouseFront_2.jpg,3,2
343007_HouseFront_2.jpg,0,3
447012_HouseFront_2.jpg,3,1
391013_HouseFront_2.jpg,2,2
44010_HouseFront_2.jpg,1,2
82005_HouseFront_2.jpg,1,3
1002008_HouseFront_2.jpg,2,0
413012_HouseFront_2.jpg,2,4
49005_HouseFront_2.jpg,2,0
123005_HouseFront_2.jpg,3,0
56009_HouseFront_2.jpg,2,2
417013_HouseFront_2.jpg,4,1
524014_HouseFront_2.jpg,1,1
10003_HouseFront_2.jpg,1,1
491008_HouseFront_2.jpg,1,0
138004_HouseFront_2.jpg,0,1
245005_HouseFront_2.jpg,1,4
288007_HouseFront_2.jpg,0,0
446007_HouseFront_2.jpg,2,0
430010_HouseFront_2.jpg,1,0
215010_HouseFront_2.jpg,1,1
313010_HouseFront_2.jpg,0,1
303006_HouseFront_2.jpg,1,4
184004_HouseFront_2.jpg,2,0
485004_HouseFront_2.jpg,2,1
186003_HouseFront_2.jpg,4,0
197005_HouseFront_2.jpg,0,4
435001_HouseFront_2.jpg,3,0
445006_HouseFront_2.jpg,1,0
375011_HouseFront_2.jpg,2,0
28012_HouseFront_2.jpg,0,1
453001_HouseFront_2.jpg,3,2
1050008_HouseFront_2.jpg,0,0
6001_HouseFront_2.jpg,2,2
414005_HouseFront_2.jpg,4,3
418004_HouseFront_2.jpg,3,2
120002_HouseFront_2.jpg,2,0
43002_HouseFront_2.jpg,1,2
278008_HouseFront_2.jpg,1,0
511005_HouseFront_2.jpg,2,0
334005_HouseFront_2.jpg,0,3
144005_HouseFront_2.jpg,4,2
37002_HouseFront_2.jpg,3,4
264012_HouseFront_2.jpg,0,0
158014_HouseFront_2.jpg,2,2
470009_HouseFront_2.jpg,0,0
404009_HouseFront_2.jpg,0,0
518004_HouseFront_2.jpg,4,0
280004_HouseFront_2.jpg,4,0
121004_HouseFront_2.jpg,2,4
405008_HouseFront_2.jpg,3,3
117010_HouseFront_2.jpg,1,2
46007_HouseFront_2.jpg,2,0
371012_HouseFront_2.jpg,1,1
509010_HouseFront_2.jpg,4,0
127012_HouseFront_2.jpg,2,0
430012_HouseFront_2.jpg,1,1
514013_HouseFront_2.jpg,1,4
341007_HouseFront_2.jpg,1,0
158014_HouseFront_2.jpg,2,3
116013_HouseFront_2.jpg,1,1
333009_HouseFront_2.jpg,4,0
44001_HouseFront_2.jpg,3,0
381008_HouseFront_2.jpg,2,2
81012_HouseFront_2.jpg,1,2
183007_HouseFront_2.jpg,0,0
44006_HouseFront_2.jpg,1,1
404011_HouseFront_2.jpg,0,3
89003_HouseFront_2.jpg,3,0
1042013_HouseFront_2.jpg,4,0
466012_HouseFront_2.jpg,2,4
273006_HouseFront_2.jpg,1,1
84013_HouseFront_2.jpg,4,2
26003_HouseFront_2.jpg,2,1
268002_HouseFront_2.jpg,1,0
363011_HouseFront_2.jpg,0,0
1016007_HouseFront_2.jpg,0,1
95012_HouseFront_2.jpg,1,1
248009_HouseFront_2.jpg,4,0
28012_HouseFront_2.jpg,0,2
466006_HouseFront_2.jpg,2,1
22004_HouseFront_2.jpg,1,4
518013_HouseFront_2.jpg,3,1
264009_HouseFront_2.jpg,0,0
26008_HouseFront_2.jpg,1,0
325011_HouseFront_2.jpg,0,4
38002_HouseFront_2.jpg,0,0
442012_HouseFront_2.jpg,0,4
