29006_HouseInterior_6.jpg,3,3,Above average
135005_HouseInterior_6.jpg,2,2,Average
498001_HouseInterior_6.jpg,2,2,Average
281009_HouseInterior_6.jpg,0,1,Below average
59002_HouseInterior_6.jpg,4,1,NA
1032013_HouseInterior_6.jpg,1,3,Upto the standard
1015001_HouseInterior_6.jpg,1,1,Below Average
405014_HouseInterior_6.jpg,3,1,NA
49004_HouseInterior_6.jpg,2,2,Average
298009_HouseInterior_6.jpg,4,1,Below average
18011_HouseInterior_6.jpg,0,3,Above average
159012_HouseInterior_6.jpg,3,1,Below Average 
119008_HouseInterior_6.jpg,2,3,Above Average 
107008_HouseInterior_6.jpg,3,2,Average
442008_HouseInterior_6.jpg,1,3,Upto the standard
299001_HouseInterior_6.jpg,3,0,Not so good
452006_HouseInterior_6.jpg,0,0,Very poor condition
296009_HouseInterior_6.jpg,0,0,Very poor condition
267009_HouseInterior_6.jpg,3,2,Average 
66001_HouseInterior_6.jpg,1,1,Walls are muddy (kachi Wall)
513006_HouseInterior_6.jpg,2,1,Very basic
392001_HouseInterior_6.jpg,1,2,Average
6002_HouseInterior_6.jpg,0,3,Above average
255013_HouseInterior_6.jpg,4,1,Below Average
361006_HouseInterior_6.jpg,2,1,NA
408009_HouseInterior_6.jpg,1,1,NA
84010_HouseInterior_6.jpg,3,2,Floor is not cemented
289012_HouseInterior_6.jpg,4,3,Above Average
234011_HouseInterior_6.jpg,3,3,Above Average
422004_HouseInterior_6.jpg,0,2,Middle range
297005_HouseInterior_6.jpg,1,1,Below average
69009_HouseInterior_6.jpg,2,0,Very poor condition
82013_HouseInterior_6.jpg,0,1,Below average
259002_HouseInterior_6.jpg,0,0,Not so well
278013_HouseInterior_6.jpg,1,0,Not so well condition
276004_HouseInterior_6.jpg,0,0,Floor is not in good condition
61003_HouseInterior_6.jpg,1,1,Below Average
250007_HouseInterior_6.jpg,1,1,Below Average
309007_HouseInterior_6.jpg,1,1,Not so bad
193004_HouseInterior_6.jpg,1,1,Below average
380008_HouseInterior_6.jpg,4,0,Poor condition
203014_HouseInterior_6.jpg,0,2,Middle range
337007_HouseInterior_6.jpg,2,3,Above average
109003_HouseInterior_6.jpg,3,3,Average
108013_HouseInterior_6.jpg,3,3,Above average
18002_HouseInterior_6.jpg,2,1,Below average
162004_HouseInterior_6.jpg,3,2,Middle range
205012_HouseInterior_6.jpg,1,2,Average
87001_HouseInterior_6.jpg,4,2,Average
203010_HouseInterior_6.jpg,2,2,Average
217011_HouseInterior_6.jpg,2,2,Average
462003_HouseInterior_6.jpg,2,2,Average
119008_HouseInterior_6.jpg,2,2,Middle range
116013_HouseInterior_6.jpg,1,1,Below average
449002_HouseInterior_6.jpg,2,3,Above average
98011_HouseInterior_6.jpg,4,1,Below average
93001_HouseInterior_6.jpg,3,3,Above average
283004_HouseInterior_6.jpg,0,3,Above average
90005_HouseInterior_6.jpg,3,3,Above average
419003_HouseInterior_6.jpg,1,2,Middle range
11010_HouseInterior_6.jpg,0,0,Not so good
49004_HouseInterior_6.jpg,2,0,Not so well
18011_HouseInterior_6.jpg,0,1,Below Average
